entity,year,total_pop,continent,kg_apple_prod_capita_year,phd_awards,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,fruit_consumed_kg_pc_year,gdp_capita_year,life_expectancy,deaths_neoplasms,daly,percent_prevalence_depressive_disorders
Bangladesh,1991,105599125,Asia,0.02,NA,20.44,160.72,172.26,1762.58,30.304400000000005,1534.52517930292,58.891,53571.439514458856,71623.21454931177,4.14652395182
Bangladesh,1992,107983708,Asia,0.07,NA,20.56,158.84,196.29,1735.31,30.3592,1582.31359952154,59.618,54052.36168198268,62436.741835705536,4.13419812996
Bangladesh,1993,110350641,Asia,0.06,NA,21.6,150.08,178.38,1659.94,29.7838,1621.32684617706,60.388,53933.106399825025,60308.00327469884,4.127866725700001
Bangladesh,1994,112737684,Asia,0.02,NA,21.48,152.36,170.73,1658.43,29.7564,1648.73402343608,61.19,53987.6062170575,58440.44320659852,4.12243862843
Bangladesh,1995,115169933,Asia,0.09,NA,21.92,153.92,185.31,1681.85,30.523600000000005,1696.56782496942,62.002,55212.24539968637,57285.48862688636,4.119832243
Bangladesh,1996,117649927,Asia,0.12,NA,23.04,153.76,189.18,1682.02,29.729000000000003,1735.92200817636,62.798,55113.93393794459,55518.506691543225,4.13094026937
Bangladesh,1997,120160571,Asia,0.1,NA,24.68,154.6,231.75,1684.97,30.085200000000004,1775.9641175023,63.553,55234.15139423343,53929.09430636333,4.15542003408
Bangladesh,1998,122682818,Asia,0.12,NA,25,156.2,279.45,1700.35,29.126200000000004,1829.50380574895,64.25,55498.048675654296,52394.656632778744,4.18954171457
Bangladesh,1999,125189655,Asia,0.1,NA,26.44,172.48,215.73,1851.35,27.4548,1876.59904380337,64.881,56172.82682235199,51097.43078505544,4.21887513082
Bangladesh,2000,127657862,Asia,0.04,NA,26.72,167.12,246.51,1817.65,27.674,1937.72919211467,65.447,58021.33236515305,50425.047596560704,4.23179565213
Bangladesh,2001,130088709,Asia,0.23,NA,27.36,171.68,245.52,1886.44,28.961800000000004,1998.06631990634,65.956,58550.52278601698,49474.71608245201,4.232661101610001
Bangladesh,2002,132478077,Asia,0.17,NA,28.88,174.76,213.48,1895.88,28.5508,2037.23630988193,66.43,59971.039002881174,48649.91019832875,4.23203463017
Bangladesh,2003,134791598,Asia,0.16,NA,29.56,175.28,232.38,1912.78,30.9072,2097.16874811972,66.886,62044.00472864949,47822.59975438879,4.23321305275
Bangladesh,2004,136986429,Asia,0.3,NA,30.68,179,242.37,1929.95,36.3872,2171.68867544338,67.331,63873.40080730988,46712.46925281377,4.23039159788
Bangladesh,2005,139035505,Asia,0.22,NA,32.04,176.24,247.32,1916.4,53.3478,2279.53127370224,67.773,66083.38679373993,45718.76117332143,4.229018584279999
Bangladesh,2006,140921154,Asia,0.18,NA,32.32,175.12,262.44,1902.12,56.3892,2399.08222733303,68.213,68595.70622267976,44603.313427818764,4.22785348978
Bangladesh,2014,154517385,Asia,NA,NA,NA,NA,NA,NA,67.3492,3511.64550625961,71.231,88712.43126063752,35413.983211939696,4.18241274481
Bangladesh,2017,159685421,Asia,NA,NA,NA,NA,NA,NA,75.67880000000001,4160.70332471531,72.052,99301.6598860653,33089.65902133226,4.1106113099899995
Belarus,2007,9480514,Europe,29.63,NA,205,163.04,1065.15,1752.81,183.169,14417.3535308989,69.107,19959.51572961183,35264.033125970665,4.15003321627
Belarus,2008,9452855,Europe,24.28,NA,202.48,160.96,1071.99,1764.57,184.128,15942.8976797373,69.616,20122.20626998775,34950.86854717328,4.1293341034
Belarus,2009,9433159,Europe,23.46,NA,210.56,155.68,998.1,1761.66,182.4292,16010.439955622,70.189,20380.02678944474,34768.709160238584,4.10744183213
Belarus,2010,9420576,Europe,20.38,NA,215.6,159.88,1115.64,1704.88,188.6764,17288.4043493433,70.806,21021.624950568406,34765.42398164425,4.09385387048
Belarus,2011,9415316,Europe,20.06,NA,226.04,166.12,1208.07,1799.77,169.85260000000002,18251.7809447653,71.443,20912.773440698587,34676.094890295935,4.08205448062
Belarus,2012,9417045,Europe,26.85,NA,231.48,166.72,1177.65,1824.15,196.23880000000003,18576.7286760826,72.07,19106.525309097626,31678.208598333324,4.0696144938
Belarus,2014,9431742,Europe,NA,NA,NA,NA,NA,NA,174.6202,19066.8868190919,73.192,18583.641471551306,30026.92058681484,4.04831521205
Belarus,2016,9445638,Europe,NA,NA,NA,NA,NA,NA,201.6914,17822.6065945418,74.031,18248.443844344492,28414.95538763201,4.03047137215
Belarus,1990,10151135,Europe,NA,NA,225.48,202.4,948.6,1995.52,NA,8895.47651248387,70.648,18843.745546348775,34379.57884973526,3.99847556586
Belarus,1991,10160785,Europe,NA,NA,201.48,200.08,799.47,1830.97,NA,8784.42045113033,70.227,19491.142591115964,35014.07816318885,4.02346650557
Belarus,1992,10154338,Europe,20.1,NA,208.84,177.36,831.42,1881.38,105.1064,7924.01489322442,69.736,20192.674679051837,35838.42775294661,4.0448076648799995
Belarus,1993,10135133,Europe,22.26,NA,217.4,179.2,860.67,1936.73,123.3822,7305.34258331295,69.223,21483.94984710338,37680.602177733475,4.06518339785
Belarus,1994,10108280,Europe,21.92,NA,208.68,175.92,877.05,1863.35,109.27120000000002,6458.18614237422,68.723,21433.744038259934,37934.912222993546,4.08545753303
Belarus,1995,10077606,Europe,14.02,NA,202.4,177.4,864.9,1950.3,114.0388,5805.26691258759,68.274,21847.33930109354,38754.82631958431,4.10356939727
Belarus,1996,10044854,Europe,16.21,NA,207.6,179.44,896.58,2000.38,109.737,5987.78568941429,67.904,21496.617151253955,38472.86519636625,4.117816756
Belarus,1997,10009393,Europe,17.86,NA,204.6,178.08,898.29,2001.03,106.3394,6698.74456753512,67.623,21527.371077247462,38652.12693567645,4.13839630018
Belarus,1998,9969986,Europe,6.1,NA,209.52,171.68,913.41,1924.39,54.63560000000001,7296.05459067832,67.436,21789.898599173655,39176.575956179935,4.1585931487800005
Belarus,1999,9924440,Europe,14.33,NA,198.16,169.76,919.98,1829.1,68.6644,7575.91832595163,67.351,22033.810667857848,39680.980361118745,4.17338999808
Belarus,2000,9871635,Europe,11.03,NA,178.88,168.12,869.76,1776.24,71.8976,8053.17363808324,67.364,20976.636767093092,38057.13019789218,4.18146174101
